"","group","condition","kappa_hat_geo","kappa_hat_feat","kappa_hat_mix","medianRT","weight_hat_mix","weight_feature"
"1","Control","Rect.room + conflict",3.33704115684093,0.333704115684093,6.00667408231368,9.064087,0.877551020408163,0.122448979591837
"2","Control","Rect.room + conflict",1.66852057842047,1.33481646273637,25.027808676307,10.8353295,0.591836734693878,0.408163265306122
"3","Control","Rect.room + conflict",14.349276974416,0.333704115684093,14.349276974416,4.7825315,1,0
"4","Control","Rect.room + conflict",0.667408231368187,0.667408231368187,2.66963292547275,5.932236,0.551020408163265,0.448979591836735
"5","Control","Rect.room + conflict",0,1.66852057842047,1.66852057842047,2.576416,0,1
"6","Control","Rect.room + conflict",3.00333704115684,0.333704115684093,13.0144605116796,4.781372,0.836734693877551,0.163265306122449
"7","Control","Rect.room + conflict",14.349276974416,0.333704115684093,37.0411568409344,6.119263,0.918367346938776,0.081632653061224
"8","Control","Rect.room + conflict",15.3503893214683,0.333704115684093,15.3503893214683,5.5040285,1,0
"9","Control","Rect.room + conflict",0,1.00111234705228,3.00333704115684,5.269287,0.306122448979592,0.693877551020408
"10","Control","Rect.room + conflict",18.3537263626251,0,18.3537263626251,6.587189,1,0
"11","Control","Rect.Room + blue wall",18.6874304783092,3.33704115684093,18.6874304783092,6.9648435,0.163265306122449,0.836734693877551
"12","Control","Rect.Room + blue wall",24.3604004449388,3.00333704115684,24.3604004449388,5.799408,0.163265306122449,0.836734693877551
"13","Control","Rect.Room + blue wall",6.67408231368187,0.667408231368187,6.67408231368187,5.115112,0.673469387755102,0.326530612244898
"14","Control","Rect.Room + blue wall",22.3581757508343,22.3581757508343,22.3581757508343,4.2232665,0,1
"15","Control","Rect.Room + blue wall",16.6852057842047,16.6852057842047,16.6852057842047,2.2232055,0,1
"16","Control","Rect.Room + blue wall",6.34037819799777,2.33592880978865,6.34037819799777,1.6644285,0.163265306122449,0.836734693877551
"17","Control","Rect.Room + blue wall",23.6929922135706,23.6929922135706,23.6929922135706,3.3397215,0,1
"18","Control","Rect.Room + blue wall",6.00667408231368,1.33481646273637,6.00667408231368,5.2983395,0.36734693877551,0.63265306122449
"19","Control","Rect.Room + blue wall",2.66963292547275,1.33481646273637,2.33592880978865,4.642334,0.244897959183673,0.755102040816327
"20","Control","Rect.Room + blue wall",27.6974416017798,27.6974416017798,27.6974416017798,6.022034,0,1
"21","Control","Rect.Room",12.0133481646274,NA,12.0133481646274,7.1090085,1,0
"22","Control","Rect.Room",11.6796440489433,NA,11.6796440489433,6.8382565,1,0
"23","Control","Rect.Room",12.3470522803115,NA,12.3470522803115,4.182434,1,0
"24","Control","Rect.Room",11.0122358175751,NA,11.0122358175751,4.4635925,1,0
"25","Control","Rect.Room",11.3459399332592,NA,11.3459399332592,3.0613405,1,0
"26","Control","Rect.Room",35.3726362625139,NA,35.3726362625139,2.152344,1,0
"27","Control","Rect.Room",18.020022246941,NA,18.020022246941,3.8890075,1,0
"28","Control","Rect.Room",7.34149054505006,NA,7.34149054505006,3.5737305,1,0
"29","Control","Rect.Room",2.00222469410456,NA,2.00222469410456,2.8604125,1,0
"30","Control","Rect.Room",3.33704115684093,NA,3.33704115684093,9.53656,1,0
"31","Control","Square.Room + blue wall",12.6807563959955,2.66963292547275,12.6807563959955,4.508728,0.102040816326531,0.897959183673469
